ΔΕΥΑ Αλεξανδρούπολης,deyaalex
ΔΕΥΑ Καλύμνου,deyak_kalimnos
ΔΕΥΑ Κώς,deyak_kos
ΔΕΥΑ Φαιστού,deyafestou
ΔΕΥΑ Λαγκαδά,deyalagada
ΔΕΥΑ Χερσονήσου,deyaxersonisou
ΔΕΥΑ Νέστου,deyanestou
ΔΕΥΑ Σπάρτης,DEYA_SPARTIS
ΔΕΥΑ Σκόπελου,deyaskopelou
ΔΕΥΑ Αλμυρού,deya_almirou
ΔΕΥΑ Βόλβης,deyavolvis
ΔΕΥΑ Ελασσόνας,deyaelassonas
ΔΕΥΑ Ζακύνθου,deyaz_zakynthou
ΔΕΥΑ Θερμαικού,deya_thermaikou
ΔΕΥΑ Κέρκυρας,deyaker
ΔΕΥΑ Λαμίας,deya_lamias
ΔΕΥΑ Λέσβου,deyalesvou
ΔΕΥΑ Τηλεθέρμανσης Λαυρεωτικής,deyathl
ΔΕΥΑ Αγρινίου,deyaa
ΔΕΥΑ Ζαχάρω,deyaz
ΔΕΥΑ Πρέβεζας,deyaprevezas
ΔΕΥΑ Μεσολογγίου,deyamessologhiou
ΔΕΥΑ Πέλλας,deyapellas
ΔΕΥΑ Ανατολικής Μάνης,deyanm
ΔΕΥΑ Ηράκλειας,deya_hr
ΔΕΥΑ Θάσου,deya_thassou
ΔΕΥΑ Καλαμάτας,deyakal
ΔΕΥΑ Κοζάνης,deyakozanis
ΔΕΥΑ Κύμης-Αλιβερίου,deyakial
ΔΕΥΑ Σικυωνίων,deya_sik
ΔΕΥΑ Αγίας,deya_agias
ΔΕΥΑ Ιωαννίνων,deyaioannina
ΔΕΥΑ Σκιάθος,deya_skiathos
ΔΕΥΑ Λουτρακίου Αγίων Θεοδώρων,deyal_p
ΔΕΥΑ Πύργου,deyapyrgou
ΔΕΥΑ Τρικάλων,deyatrikalon
ΔΕΥΑ Χανίων,deyaxanion
ΔΕΥΑ Μεσσήνης,deyamessinis
ΔΕΥΑ Βόρειας Κυνουριάς,deyaboriaskinourias
ΔΕΥΑ Γρεβενών,deyagrevena
ΔΕΥΑ Ηρακλείου,deyah
ΔΕΥΑ Ναυπακτίας,deya_nafpaktias
ΔΕΥΑ Σύρου,deyaes
ΔΕΥΑ Λέρου,deyalerou
ΔΕΥΑ Παγγαιού,deyapaggaiou
ΔΕΥΑ Πάτρας,deyapatras
Δήμος Καρπάθου,dimos_karpathou
